"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Adaptive Beamforming Method Based on Klms Algorithm","S. Lou; X. Sun; Y. Li","Hangzhou Applied Acoustics Research Institute, Hangzhou, China; Hangzhou Applied Acoustics Research Institute, Hangzhou, China; Hangzhou Applied Acoustics Research Institute, Hangzhou, China","2025 IEEE 14th International Conference on Communications, Circuits and Systems (ICCCAS)","11 Aug 2025","2025","","","318","322","In this paper, we present an adaptive beamforming method based on the kernel least mean square (KLMS) algorithm and its sparsification processing. The proposed method regresses the mapping from array signal to desired signal by applying the Least Mean Square (LMS) algorithm in a high-dimension feature space using kernel methods. This enables the array to adaptively steer toward the signal source direction while suppressing noise and interferences. To reduce the complexity of the algorithm, we employ a sparsification process which only adds a new sample into the kernel representation when it doesn't satisfy approximate linear dependence (ALD) condition. The performance of the algorithm is analyzed and its effectiveness in adaptive beamforming applications is demonstrated.","","979-8-3315-4477-5","10.1109/ICCCAS65806.2025.11102597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102597","adaptive beamforming;kernel methods;sparsification process","Interference suppression;Adaptive systems;Array signal processing;Noise;Noise reduction;Approximation algorithms;Complexity theory;Kalman filters;Kernel;Optimization","","","","10","IEEE","11 Aug 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"Hand Gesture Recognition Based on Trajectories Features and Computation-Efficient Reused LSTM Network","Z. Yang; X. Zheng","Guangdong Key Laboratory of Intelligent Information Processing, College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; Guangdong Key Laboratory of Intelligent Information Processing, College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China",IEEE Sensors Journal,"30 Jul 2021","2021","21","15","16945","16960","Touchless hand gesture recognition using radar sensor is considered to be an attractive and effective technique for human-machine interaction. In this paper, we propose a hand gesture recognition approach based-on range-Doppler-angle trajectories and a reused long short-term memory (RLSTM) network using a 77GHz frequency modulated continuous wave (FMCW) multiple-input-multiple-output (MIMO) radar. To overcome amounts of gesture interferences, a gesture desktop is designed and a potential hand gesture detection approach is followed to determine whether it is a potential hand gesture. If the gesture happens in the assumed gesture desktop, the range-Doppler-angle trajectories are extracted by using the discretize Fourier transform (DFT), multiple signal classification (MUSIC) algorithm and the Kalman filtering. These signatures cannot only significantly reduce the dimension for the following neural network but also exploit the three dimensional information provided by the MIMO radar. Finally, a LSTM network with the reused forward propagation approach is proposed to exploit the spatial, temporal and Doppler information and simplify the network architecture. The experimental results show that the proposed approach can achieve an average accuracy of 99.4% and recognize a new person's hand gestures with an average accuracy of 98.0% for 9 hand gestures.","1558-1748","","10.1109/JSEN.2021.3079564","Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2019A1515011517); Science and Technology Project of Shenzhen(grant numbers:JCYJ20190808142803565); National Natural Science Foundation of China(grant numbers:61771317); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9429229","Hand gesture recognition;MIMO radar;trajectory extraction;reused LSTM encoder","Radar;Gesture recognition;Sensors;Trajectory;Chirp;MIMO radar;Feature extraction","","37","","42","IEEE","12 May 2021","1 Aug.1, 2021","","IEEE","IEEE Journals"
"Real-Time Tracking of Multiple Acoustical Sources Utilising Rao-Blackwellised Particle Filtering","L. McCormack; A. Politis; S. Särkkä; V. Pulkki","Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland; Department of Information Technology and Communication Sciences, Tampere University, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Signal Processing and Acoustics, Aalto University, Espoo, Finland",2021 29th European Signal Processing Conference (EUSIPCO),"8 Dec 2021","2021","","","206","210","This paper proposes a system for localising and tracking multiple simultaneous acoustical sound sources in the spherical harmonic domain, intended as a precursor for developing parametric sound-field editors and spatial audio effects. The real-time system comprises a novel combination of a direct-path dominance test, grid-less subspace localisation, and multiple target tracking based on Rao-Blackwellised particle filtering. It has robust multi-source performance and can adapt to sources that vary in number and direction over time. The proposed system was evaluated by using the framework established under the LOCATA 2018 localisation and tracking challenge, and comparing the results with the original submissions to the challenge. The results demonstrate that the proposed system yields the lowest angular error on the horizontal plane for both moving source(s) tasks, and provides results close to the winning submission for the static source(s) tasks. The proposed system also fares well in the other LOCATA evaluation metrics, and, more importantly, does so as a real-time system; i.e. with no requirement for offline post-processing of the tracker data and operating within reasonable computational constraints.","2076-1465","978-9-0827-9706-0","10.23919/EUSIPCO54536.2021.9616095","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616095","multi-target tracking;source localisation","Measurement;Target tracking;Filtering;Spatial audio;Real-time systems;Task analysis;Signal resolution","","4","","37","","8 Dec 2021","23-27 Aug. 2021","23-27 Aug. 2021","IEEE","IEEE Conferences"
"Tracking and Transmission Design in Terahertz V2I Networks","Z. Lin; L. Wang; J. Ding; Y. Xu; B. Tan","Department of Electrical Engineering, Fudan University, Shanghai, China; Department of Electrical Engineering, Fudan University, Shanghai, China; Department of Electrical Engineering, Fudan University, Shanghai, China; Department of Electrical Engineering, Fudan University, Shanghai, China; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland",IEEE Transactions on Wireless Communications,"9 Jun 2023","2023","22","6","3586","3598","This paper designs the vehicle tracking and resource allocation in the terahertz (THz) vehicle-to-infrastructure communications (V2I) networks, where roadside units (RSUs) equipped with leaky-wave antennas help to estimate the driving states of multiple vehicles and optimize the transmit power and bandwidth per vehicle after receiving the vehicles’ feedback. Different from the conventional phased arrays, the leaky-wave antenna has the potential of improving the sensing accuracy with lower system overhead thanks to its unique spatial-spectral coupling feature. The generalized mobile scenario is studied in which vehicles drive at time-varying speeds. A novel unscented Kalman filter (UKF) based solution is proposed to track the vehicles without requirement of addressing the Doppler effect. Based on the estimated states of multiple vehicles, a low-complexity resource allocation method is developed to maximize the sum rate under user fairness concern. Simulation results confirm that the proposed tracking solution can evaluate the propagation angle, vehicle’s states and inter-vehicle distance accurately, and the tailored resource allocation method strikes a delicate balance between the sum rate and user fairness in the multi-vehicle V2I scenario.","1558-2248","","10.1109/TWC.2022.3211647","National Key Research and Development Program(grant numbers:2021YFE0193300); National Science Foundation of China (NSFC)(grant numbers:62002065); Science and Technology Commission of Shanghai Municipality (STCSM)(grant numbers:22QA1401100); Guangdong Provincial Key Research and Development Programme(grant numbers:2020B010166003); Business Finland through the Nokia Veturi Program(grant numbers:6868/31/2021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9916171","Terahertz V2I;leaky-wave antenna;unscented Kalman filter;resource allocation","Leaky wave antennas;Radar tracking;Vehicle-to-infrastructure;Millimeter wave communication;Resource management;Phased arrays;Kalman filters","","21","","46","IEEE","11 Oct 2022","June 2023","","IEEE","IEEE Journals"
"Quasi-Coherent Phase-Based Localization and Tracking of Incoherently Transmitting Radio Beacons","E. Sippel; M. Hehn; T. Koegel; P. Gröschel; A. Hofmann; S. Brückner; J. Geiss; R. Schober; M. Vossiek","Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute for Digital Communications, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany; Institute of Microwaves and Photonics, Friedrich–Alexander University Erlangen–Nürnberg, Erlangen, Germany",IEEE Access,"5 Oct 2021","2021","9","","133229","133239","The direct measurement of distance-dependent information between wireless units represents a challenge for wireless locating systems, because it requires the exact time synchronization of separate wireless units. To avoid these synchronization efforts, many wireless locating systems only evaluate phase difference of arrival (PDOA) measurements. While simple PDOA localization techniques rely on multiangulation, advanced PDOA concepts like the holographic extended Kalman filter (HEKF) directly evaluate the measured phases without non-linear preprocessing. However, these differential phase measurement approaches are less sensitive than systems that can measure absolute phase variations, which allow the tracking of much smaller position changes than the signal’s carrier wavelength. This paper proposes to extend the HEKF by the evaluation of absolute phases in an incoherent measurement setup, which consists of a continuous wave (CW) beacon and several receivers. The developed quasi-coherent holographic extended Kalman filter (QCHEKF) uses the overdetermined PDOA measurements to estimate the phase–frequency relation between each beacon–receiver pair. Then, the established phase–frequency relations allow the evaluation of absolute phase measurements and, thus, the accurate localization and tracking of a simple, unsynchronized, narrowband CW beacon, even under severe multipath conditions. This novel concept is experimentally validated via 3D localization results in a challenging indoor scenario using a 24 GHz CW measurement setup. Here, the QCHEKF improves the achieved localization accuracy in comparison to the HEKF by 35 % from 0.78 cm to 0.51 cm, while the maximum deviation from the trajectory reduces by 68 % from 5 cm to 1.6 cm. Furthermore, the QCHEKF enables the exact tracking of fast changes in direction, which is usually a significant challenge for standard wireless target tracking systems.","2169-3536","","10.1109/ACCESS.2021.3115563","Deutsche Forschungsgemeinschaft (DFG, German Research Foundation)(grant numbers:SFB 1483–Project-ID 44241933); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9548075","Radar;Kalman filters;incoherent measurements;localization;array signal processing","Phase measurement;Location awareness;Antenna measurements;Time-frequency analysis;Receiving antennas;Time measurement;Wireless sensor networks","","6","","47","CCBY","24 Sep 2021","2021","","IEEE","IEEE Journals"
"Kalman Filter based RFID tag velocity estimation in the presence of frequency hopping","N. -P. Bester; A. Hoffman","Faculty of Computer and Electronic Engineering, North-West University, Potchefstroom, South-Africa; Faculty of Computer and Electronic Engineering, North-West University, Potchefstroom, South-Africa",2019 IEEE International Conference on RFID Technology and Applications (RFID-TA),"7 Nov 2019","2019","","","488","493","This paper compares different techniques for estimating the velocity of UHF RFID tags within practical applications. We use COTS RFID equipment complying with ISO18000-6C standards, including the use of frequency hopping, to capture tag identification, phase angle and signal strength data. A Phase-Difference-of-Arrival technique is applied to calculate tag velocity. Different signal estimation techniques, including Kalman filtering and Exponential Smoothing, are used to improve the accuracy of the estimated velocity in noisy conditions. These techniques are evaluated and compared within different scenarios, including cases with a fixed speed, acceleration and deceleration. Shortcomings of the RFID backscatter signal parameters are shown, and the effects of the number of tags present and number of samples taken within one frequency hop cycle are investigated. Finally, the potential to use such techniques within practical applications and required improvements are discussed.","","978-1-7281-0589-5","10.1109/RFID-TA.2019.8892213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8892213","RFID;Phase-Difference-on-Arrival;Kalman Filter;backscatter;velocity","Phase measurement;Radiofrequency identification;Delays;Backscatter;Wrapping;Frequency estimation","","2","","17","IEEE","7 Nov 2019","25-27 Sept. 2019","25-27 Sept. 2019","IEEE","IEEE Conferences"
"An IMM-PKF Method for Helicopter Tracking using Acoustic Arrays","L. Hao; Y. Wang; C. -H. Wei; Z. -W. Chen; X. -N. Wang","Key Laboratory of Aerodynamic Noise Control China Aerodynamics Research and Development Center, Mianyang, China; Key Laboratory of Aerodynamic Noise Control China Aerodynamics Research and Development Center, Mianyang, China; Key Laboratory of Aerodynamic Noise Control China Aerodynamics Research and Development Center, Mianyang, China; Key Laboratory of Aerodynamic Noise Control China Aerodynamics Research and Development Center, Mianyang, China; Key Laboratory of Aerodynamic Noise Control China Aerodynamics Research and Development Center, Mianyang, China",2021 4th International Conference on Information Communication and Signal Processing (ICICSP),"25 Nov 2021","2021","","","224","228","This paper presents a tracking algorithm based on the interacting multiple model (IMM) algorithm and pseudo linear Kalman filter (PKF) in order to improve the performance of traditional methods in maneuvering target tracking. The IMM-PKF algorithm uses the constant velocity (CV) model and coordinated turn (CT) model to form a model set, and the filtering algorithm uses PKF. In target tracking, IMM is used to improve the matching between state prediction and actual motion, therefore improving the accuracy of maneuvering tracking. The performance of extended Kalman filter (EKF), PKF, and IMM-PKF is compared through simulation and experiment. The results show that the IMM-PKF method has the best tracking accuracy among the three methods in helicopter tracking.","","978-1-6654-0757-1","10.1109/ICICSP54369.2021.9611966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9611966","helicopter tracking;IMM;PKF;acoustic detection","Target tracking;Helicopters;Signal processing algorithms;Estimation;Signal processing;Filtering algorithms;Turning","","","","13","IEEE","25 Nov 2021","24-26 Sept. 2021","24-26 Sept. 2021","IEEE","IEEE Conferences"
"Two-Channel Extended Kalman Filtering with Intermittent Measurements","V. -M. Maer; Z. Lendek; Ş. Pîrje; D. Tolić; A. Đuraš; V. Prkačin; I. Palunko; L. Busoniu","Technical University of Cluj-Napoca, Cluj-Napoca, Romania; Technical University of Cluj-Napoca, Cluj-Napoca, Romania; Technical University of Cluj-Napoca, Cluj-Napoca, Romania; RIT Croatia, Dubrovnik, Croatia; University of Dubrovnik, Dubrovnik, Croatia; University of Dubrovnik, Dubrovnik, Croatia; University of Dubrovnik, Dubrovnik, Croatia; Technical University of Cluj-Napoca, Cluj-Napoca, Romania",2024 American Control Conference (ACC),"5 Sep 2024","2024","","","1204","1211","We consider two nonlinear state estimation prob-lems in a setting where an extended Kalman filter receives measurements from two sets of sensors via two channels (2C). In the stochastic-2C problem, the channels drop measurements stochastically, whereas in 2C scheduling, the estimator chooses when to read each channel. In the first problem, we generalize linear-case 2C analysis to obtain - for a given pair of channel arrival rates - boundedness conditions for the trace of the error covariance, as well as a worst-case upper bound. For scheduling, an optimization problem is solved to find arrival rates that balance low channel usage with low trace bounds, and channels are read deterministically with the expected periods corresponding to these arrival rates. We validate both solutions in simulations for linear and nonlinear dynamics; as well as in a real experiment with an underwater robot whose position is being intermittently found in a UAV camera image.","2378-5861","979-8-3503-8265-5","10.23919/ACC60939.2024.10644674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10644674","","Technological innovation;Upper bound;Protocols;Robot vision systems;Channel estimation;Sensor phenomena and characterization;Nonlinear dynamical systems","","","","23","","5 Sep 2024","10-12 July 2024","10-12 July 2024","IEEE","IEEE Conferences"
"The LOCATA Challenge Data Corpus for Acoustic Source Localization and Tracking","H. W. Löllmann; C. Evers; A. Schmidt; H. Mellmann; H. Barfuss; P. A. Naylor; W. Kellermann",Friedrich-Alexander University Erlangen-Nürnberg; Imperial College London; Friedrich-Alexander University Erlangen-Nürnberg; Humboldt-Universität zu Berlin; Friedrich-Alexander University Erlangen-Nürnberg; Imperial College London; Friedrich-Alexander University Erlangen-Nürnberg,2018 IEEE 10th Sensor Array and Multichannel Signal Processing Workshop (SAM),"30 Aug 2018","2018","","","410","414","Algorithms for acoustic source localization and tracking are essential for a wide range of applications such as personal assistants, smart homes, tele-conferencing systems, hearing aids, or autonomous systems. Numerous algorithms have been proposed for this purpose which, however, are not evaluated and compared against each other by using a common database so far. The IEEE-AASP Challenge on sound source localization and tracking (LOCATA) provides a novel, comprehensive data corpus for the objective benchmarking of state-of-the-art algorithms on sound source localization and tracking. The data corpus comprises six tasks ranging from the localization of a single static sound source with a static microphone array to the tracking of multiple moving speakers with a moving microphone array. It contains real-world multichannel audio recordings, obtained by hearing aids, microphones integrated in a robot head, a planar and a spherical microphone array in an enclosed acoustic environment, as well as positional information about the involved arrays and sound sources represented by moving human talkers or static loudspeakers.","2151-870X","978-1-5386-4752-3","10.1109/SAM.2018.8448644","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8448644","","Arrays;Microphone arrays;Task analysis;Array signal processing;Acoustics;Databases","","79","","42","IEEE","30 Aug 2018","8-11 July 2018","8-11 July 2018","IEEE","IEEE Conferences"
"A Multi-Node Cooperative Bearing-Only Target Passive Tracking Algorithm via UWSNs","X. Han; M. Liu; S. Zhang; Q. Zhang","State Key Laboratory of Industrial Control Technology, College of Electrical Engineering, Zhejiang University, Hangzhou, China; State Key Laboratory of Industrial Control Technology, College of Electrical Engineering, Zhejiang University, Hangzhou, China; College of Electrical Engineering, Zhejiang University, Hangzhou, China; School of Marine Science and Technology, Northwestern Polytechnical University, Xi’an, China",IEEE Sensors Journal,"21 Oct 2019","2019","19","22","10609","10623","Underwater target passive tracking has ubiquitous applications in oceanic fields for both commercial and military purposes. The underwater wireless sensor networks (UWSNs) draw great interest and become promising tools for underwater target passive tracking. However, batteries provide power for nodes in the UWSNs, and it is unrealistic to replace them when their energies are exhausted. Therefore, it is essential to study on energy-efficient underwater target passive tracking algorithm. To make a tradeoff between tracking accuracy and energy consumption, this paper proposes a multi-sensor cooperative bearing-only passive tracking algorithm based on dynamic clustering via UWSNs. Under the framework of distributed fusion, we utilize the linear minimum variance fusion criterion to minimize the trace of fusion error covariance. Furthermore, we introduce the dynamic clustering process into passive target tracking, select cluster head nodes from the perspective of energy consumption, and choose cluster member nodes through an adaptive node selection method, which formulates the nodes selection problem into a knapsack problem in mathematics. Finally, the simulation results and analysis demonstrate that this algorithm can effectively reduce energy consumption on the premise of sufficient tracking accuracy.","1558-1748","","10.1109/JSEN.2019.2931885","National Natural Science Foundation of China(grant numbers:61673345); National Natural Science Foundation of China(grant numbers:U1609204); National Natural Science Foundation of China(grant numbers:61531015); Key Research and Development Program of Zhejiang Province(grant numbers:2018C03030); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8781811","Bearing-only passive tracking;distributed fusion;dynamic clustering;energy-efficient;underwater wireless sensor networks","Target tracking;Sensors;Heuristic algorithms;Acoustics;Clustering algorithms;Energy consumption;Wireless sensor networks","","49","","32","IEEE","30 Jul 2019","15 Nov.15, 2019","","IEEE","IEEE Journals"
"Cooperative Method for Distributed Target Tracking for OFDM Radar With Fusion of Radar and Communication Information","J. B. Sanson; D. Castanheira; A. Gameiro; P. P. Monteiro","DETI, University of Aveiro, Aveiro, Portugal; DETI, University of Aveiro, Aveiro, Portugal; DETI, University of Aveiro, Aveiro, Portugal; DETI, University of Aveiro, Aveiro, Portugal",IEEE Sensors Journal,"15 Jul 2021","2021","21","14","15584","15597","Radar systems based on orthogonal ifrequency-division multiplexing (OFDM) are promising candidates for future intelligent transport networks because they combine target-estimation functions with communication network functions in one single system. By exploring this dual functionality, this paper presents a new cooperative method for distributed target tracking for multiple-input multiple-output (MIMO) OFDM radar systems. The proposed method employs a cascading information-fusion approach. First, the ego-vehicle performs a multi-target estimation by fusing the radar signals reflected by the targets with the communication signals it receives. Then, the ego-vehicle performs a tracking process, fusing its estimates with the estimates made by other in-network vehicles. By exploring the cooperation between vehicles, the proposed method enables the distributed tracking of targets. The result is a highly accurate multi-target tracking across the entire cooperative vehicle network, leading to improvements in transport reliability and safety. The proposed method is validated through simulations and laboratory measurements at 24 GHz.","1558-1748","","10.1109/JSEN.2020.3033767","European Regional Development Fund (FEDER), through the Competitiveness and Internationalization Operational Programme (COMPETE 2020) of the Portugal 2020 framework, Project, Reflectometry Technologies to Enhance the Future Internet of Things and Cyber-Physical Systems (RETIOT)(grant numbers:POCI-01-0145-FEDER-016432,ORCIP-CENTRO-01-0145-FEDER-022141); Fundação para a Ciência e a Tecnologia through Ph.D.(grant numbers:PD/BD/128195/2016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239392","Cooperative systems;information fusion;OFDM;RADAR;tracking;vehicle-to-vehicle communication;vehicular network","Radar tracking;OFDM;Target tracking;Estimation;Sensors;Radar detection","","29","","45","IEEE","26 Oct 2020","15 July15, 2021","","IEEE","IEEE Journals"
"In-Body Bionanosensor Localization for Anomaly Detection via Inertial Positioning and THz Backscattering Communication","J. Simonjan; B. D. Unluturk; I. F. Akyildiz","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical and Computer Engineering and the Department of Biomedical Engineering, Michigan State University, East Lansing, MI, USA; Department of Electronic Systems, Norwegian University of Science and Technology, Trondheim, Norway",IEEE Transactions on NanoBioscience,"31 Mar 2022","2022","21","2","216","225","Nanotechnology is enabling the development of a new generation of devices which are able to sense, process and communicate, while being in the scale of tens to hundreds of cubic nanometers. Such small, imperceptible devices enhance not only current applications but enable entirely new paradigms especially for in-body environments. This paper introduces a localization and tracking concept for bionanosensors floating in the human bloodstream to detect anomalies in the body. Besides the nanoscale sensors, the proposed system also comprises macroscale anchor nodes attached to the skin of the monitored person. To realize autonomous localization and resource-efficient wireless communication between sensors and anchors, we propose to exploit inertial positioning and sub-terahertz backscattering. The proposed system is a first step towards early disease detection as it aims at localizing body regions which show anomalies. Simulations are conducted to enable a systematical evaluation on the feasibility of the approach.","1558-2639","","10.1109/TNB.2021.3123972","Marshallplan-Jubiläumsstiftung; Federation of Austrian Industry; CLEPIUS—Internet of Bio-NanoThings for Prediction and Prevention of Infectious Diseases(grant numbers:310601); Norges Forskningsråd; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9592801","Wireless nanosensor networks;in-body localization;terahertz;intrabody channel model","Location awareness;Sensors;Backscatter;Biosensors;Temperature sensors;Modulation;Wireless sensor networks","Communication;Computer Communication Networks;Humans;Monitoring, Physiologic;Nanotechnology","25","","53","IEEE","28 Oct 2021","April 2022","","IEEE","IEEE Journals"
"Audio–Visual Particle Flow SMC-PHD Filtering for Multi-Speaker Tracking","Y. Liu; V. Kılıç; J. Guan; W. Wang","Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Department of Electrical and Electronics Engineering, Izmir Katip Celebi University, Cigli-Izmir, Turkey; College of Computer Science and Technology, Harbin Engineering University, Harbin, China; Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.",IEEE Transactions on Multimedia,"24 Mar 2020","2020","22","4","934","948","Sequential Monte Carlo probability hypothesis density (SMC-PHD) filtering is a popular method used recently for audio-visual (AV) multi-speaker tracking. However, due to the weight degeneracy problem, the posterior distribution can be represented poorly by the estimated probability, when only a few particles are present around the peak of the likelihood density function. To address this issue, we propose a new framework where particle flow (PF) is used to migrate particles smoothly from the prior to the posterior probability density. We consider both zero and non-zero diffusion particle flows (ZPF/NPF), and developed two new algorithms, AV-ZPF-SMC-PHD and AV-NPF-SMC-PHD, where the speaker states from the previous frames are also considered for particle relocation. The proposed algorithms are compared systematically with several baseline tracking methods using the AV16.3, AVDIAR and CLEAR datasets, and are shown to offer improved tracking accuracy and average effective sample size (ESS).","1941-0077","","10.1109/TMM.2019.2937185","EPSRC Programme(grant numbers:S3A); Future Spatial Audio for an Immersive Listener Experience at Home(grant numbers:EP/L000539/1); EPSRC Making Sense of Sounds project(grant numbers:EP/N014111/1); BBC Audio Research Partnership; China Scholarship Council; Engineering and Physical Sciences Research Council(grant numbers:EP/K014307/1); MOD University Defence Research Collaboration in Signal Processing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8811627","Audio-Visual Tracking;Sequential Monte Carlo;PHD filter;Particle Flow;Optimal Proposal Distribution","Atmospheric measurements;Particle measurements;Noise measurement;Frequency modulation;Visualization;Monte Carlo methods;Weight measurement","","22","","77","IEEE","23 Aug 2019","April 2020","","IEEE","IEEE Journals"
"Fusion Positioning of Mobile Equipment in Underground Coal Mine Based on Redundant IMUs and UWB","L. Si; Z. Wang; D. Wei; J. Gu; P. Zhang","School of Mechanical and Electrical Engineering, China University of Mining and Technology, Xuzhou, China; School of Mechanical and Electrical Engineering, China University of Mining and Technology, Xuzhou, China; School of Mechanical and Electrical Engineering, China University of Mining and Technology, Xuzhou, China; School of Mechanical and Electrical Engineering, China University of Mining and Technology, Xuzhou, China; School of Mechanical and Electrical Engineering, China University of Mining and Technology, Xuzhou, China",IEEE Transactions on Industrial Informatics,"4 Apr 2024","2024","20","4","5946","5958","Current positioning methods for indoor or outdoor robots show poor applicability and limited performance for underground mobile equipment with complex scene interference, such as narrow roadways, heavy dust, and poor illumination. Therefore, a fusion positioning framework is proposed based on redundant inertial measurement units (IMUs) and ultra-wideband (UWB) by using a factor graph (FG). In this framework, six layout models of redundant IMUs are designed and compared to fundamentally inhibit the accumulation of positioning errors to a large extent. Then, the optimal layout parameters of base stations are explored through many simulation experiments in terms of the number, shape, and height to preliminarily improve the positioning accuracy of the UWB system. A hybrid calculation method based on bacterial foraging optimization algorithm and Taylor is provided to further enhance the positioning accuracy of UWB in a complex environment. Subsequently, the UWB credibility factor is developed to dynamically adjust the fusion weight of UWB information, to weaken the influence of the non-line of sight errors. Furthermore, FG architecture integrated with the UWB credibility factor is applied to fuse redundant IMUs and UWB for accurate positioning. Some simulations and experiments are carried out and the comparison results verify the superiority and practicability of the proposed positioning method for underground equipment.","1941-0050","","10.1109/TII.2023.3342427","National Natural Science Foundation of China(grant numbers:52174152,52204179); Xuzhou Basic Research Program(grant numbers:KC23051); Natural Science Foundation of Jiangsu Province(grant numbers:BK20221128); Priority Academic Program Development of Jiangsu Higher Education Institutions; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10374435","Factor graph (FG);fusion positioning;mobile equipment;redundant inertial measurement units (IMUs);ultra-wideband (UWB)","Layout;Kalman filters;Mathematical models;Coal mining;Interference;Analytical models;Vibrations","","15","","34","IEEE","27 Dec 2023","April 2024","","IEEE","IEEE Journals"
"Evaluation of 2D Localization Performance in Wheeled Robots Based on the Fusion of Odometry and Absolute Positioning Systems","M. Stefanoni; P. Sarcevic; G. Fodor; Á. Odry","Doctoral School of Applied Informatics and Applied Mathematics, Obuda University, Budapest, Hungary; Department of Mechatronics and Automation, University of Szeged, Szeged, Hungary; Agrokons Doo, Mali Idos, Serbia; Department of Mechatronics and Automation, University of Szeged, Szeged, Hungary",2025 IEEE 19th International Symposium on Applied Computational Intelligence and Informatics (SACI),"23 Jun 2025","2025","","","519","524","Accurate localization is essential for wheeled robots in structured environments. This study evaluates the performance of an EKF-based sensor fusion approach that combines odometry with an Absolute Positioning System (APS) under different configurations, analyzing how APS setup variations affect localization accuracy. A line-following, differentially driven wheeled robot was used, providing odometry data. The Ground Truth (GT) database consists of predefined, precisely measured trajectories on which the robot was deployed. Based on these trajectories and odometry readings, APS data were artificially generated, providing virtual measurements with different noise levels. Five trajectories were analyzed, including multiple straight-line segments with directional changes and one semi-circular path. The APS was tested at two update frequencies (1 Hz and 5 Hz) and five noise levels (20,40,60,80, and 100 mm standard deviation (STD)). Performance was evaluated using Root Mean Square Error (RMSE), STD, and Maximum Absolute Error (MaxAE). Results show that EKF-based fusion improves accuracy on straight trajectories with sudden direction changes, while for the semicircular path, odometry alone performs comparably. Higher APS update frequencies enhance localization, while increased noise degrades it. To achieve RMSE lower than 50 mm, the noise level must not exceed 20 mm for 1 Hz APS and 40 mm for 5 Hz APS.","2765-818X","979-8-3315-1547-8","10.1109/SACI66288.2025.11030185","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030185","differential wheeled robot;line-follower;odometer;extended Kalman filter","Location awareness;Accuracy;Robot kinematics;Sensor fusion;Robot sensing systems;Trajectory;Odometry;Mobile robots;Standards;Noise level","","2","","32","IEEE","23 Jun 2025","19-24 May 2025","19-24 May 2025","IEEE","IEEE Conferences"
